date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:12:24	41393/41393	---MCZ	200	added ('OK')	text/html	date:Sat,%2019%20Nov%202016%2000:12:32%20GMT	https://distractionkiller.wordpress.com/	C:/My%20Web%20Sites/dk/distractionkiller.wordpress.com/index.html	(from )
17:12:24	371/371	---MCZ	200	added ('OK')	text/plain	date:Sat,%2019%20Nov%202016%2000:12:31%20GMT	https://distractionkiller.wordpress.com/robots.txt		(from )
17:12:24	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Sat,%2019%20Nov%202016%2000:12:32%20GMT	https://distractionkiller.wordpress.com/xmlrpc.php	C:/My%20Web%20Sites/dk/distractionkiller.wordpress.com/xmlrpc.php	(from https://distractionkiller.wordpress.com/)
17:12:24	5605/5605	---MCZ	200	added ('OK')	text/css	date:Sat,%2019%20Nov%202016%2000:12:33%20GMT	https://s0.wp.com/wp-content/mu-plugins/global-print/global-print.css?m=1465851035h	C:/My%20Web%20Sites/dk/s0.wp.com/wp-content/mu-plugins/global-print/global-print6805.css	(from https://distractionkiller.wordpress.com/)
17:12:24	1510/1510	---MCZ	200	added ('OK')	application/rss+xml	date:Sat,%2019%20Nov%202016%2000:12:33%20GMT	https://distractionkiller.wordpress.com/feed/	C:/My%20Web%20Sites/dk/distractionkiller.wordpress.com/feed/index.html	(from https://distractionkiller.wordpress.com/)
17:12:25	910/910	---MCZ	200	added ('OK')	text/xml	date:Sat,%2019%20Nov%202016%2000:12:33%20GMT	https://distractionkiller.wordpress.com/xmlrpc.php?rsd	C:/My%20Web%20Sites/dk/distractionkiller.wordpress.com/xmlrpc0db0.php	(from https://distractionkiller.wordpress.com/)
17:12:25	10046/10046	---M--	200	added ('OK')	image/png	date:Fri,%2013%20Nov%202015%2004:17:51%20GMT	https://s0.wp.com/i/webclip.png	C:/My%20Web%20Sites/dk/s0.wp.com/i/webclip.png	(from https://distractionkiller.wordpress.com/)
17:12:25	846/846	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%2299b889a9cd748e8b4eca0eb3758d138d%22	https://distractionkiller.wordpress.com/comments/feed/	C:/My%20Web%20Sites/dk/distractionkiller.wordpress.com/comments/feed/index.html	(from https://distractionkiller.wordpress.com/)
17:12:25	1391/1391	---MCZ	200	added ('OK')	application/xml	date:Sat,%2019%20Nov%202016%2000:12:33%20GMT	https://distractionkiller.wordpress.com/osd.xml	C:/My%20Web%20Sites/dk/distractionkiller.wordpress.com/osd.xml	(from https://distractionkiller.wordpress.com/)
17:12:26	51506/51506	---M--	200	added ('OK')	image/jpeg	date:Sat,%2019%20Nov%202016%2000:00:16%20GMT	https://distractionkiller.files.wordpress.com/2016/11/1.jpg	C:/My%20Web%20Sites/dk/distractionkiller.files.wordpress.com/2016/11/1.jpg	(from https://distractionkiller.wordpress.com/)
17:12:26	58955/58955	---M--	200	added ('OK')	image/jpeg	date:Sat,%2019%20Nov%202016%2000:00:16%20GMT	https://distractionkiller.files.wordpress.com/2016/11/1.jpg?w=1128&h=202&crop=1	C:/My%20Web%20Sites/dk/distractionkiller.files.wordpress.com/2016/11/1f3f0.jpg	(from https://distractionkiller.wordpress.com/)
17:12:26	28914/28914	---MCZ	200	added ('OK')	text/html	date:Sat,%2019%20Nov%202016%2000:09:31%20GMT	https://distractionkiller.wordpress.com/contact/	C:/My%20Web%20Sites/dk/distractionkiller.wordpress.com/contact/index.html	(from https://distractionkiller.wordpress.com/)
17:12:26	27257/27257	---MCZ	200	added ('OK')	text/html	date:Sat,%2019%20Nov%202016%2000:12:35%20GMT	https://distractionkiller.wordpress.com/documents/	C:/My%20Web%20Sites/dk/distractionkiller.wordpress.com/documents/index.html	(from https://distractionkiller.wordpress.com/)
17:12:26	347538/347538	---M--	200	added ('OK')	image/png	date:Fri,%2018%20Nov%202016%2023:56:12%20GMT	https://distractionkiller.files.wordpress.com/2016/11/notification_software.png?w=655&h=344&crop=1	C:/My%20Web%20Sites/dk/distractionkiller.files.wordpress.com/2016/11/notification_software2db3.png	(from https://distractionkiller.wordpress.com/)
